,nameFirst,nameLast,induction_year,allstar_appearances
194,Willie,Wells,1997,0
195,Willie,Keeler,1939,0
196,George,Sisler,1939,0
197,Ray,Brown,2006,0
198,Willard,Brown,2006,0
199,Frank,Grant,2006,0
200,Jim,O'Rourke,1945,0
201,Zack,Wheat,1959,0
202,Andy,Cooper,2006,0
203,Joe,Kelley,1971,0
204,Hilton,Smith,2001,0
205,Jesse,Burkett,1946,0
206,Clark,Griffith,1946,0
207,Herb,Pennock,1948,0
208,Deacon,White,2013,0
209,Stan,Coveleski,1969,0
210,High Pockets,Kelly,1973,0
211,Tris,Speaker,1937,0
212,Max,Carey,1961,0
213,Burleigh,Grimes,1964,0
214,Eddie,Plank,1946,0
215,Smokey Joe,Williams,1999,0
216,Sam,Crawford,1957,0
217,King,Kelly,1945,0
218,Turkey,Stearnes,2000,0
219,Frank,Chance,1946,0
220,Jesse,Haines,1970,0
221,Old Hoss,Radbourn,1939,0
222,Vic,Willis,1995,0
223,Ray,Dandridge,1987,0
224,Nap,Lajoie,1937,0
225,Mule,Suttles,2006,0
226,Oscar,Charleston,1976,0
227,Billy,Hamilton,1961,0
228,Sam,Rice,1963,0
229,Hack,Wilson,1979,0
230,Pete,Alexander,1938,0
231,George,Davis,1998,0
232,Buck,Leonard,1972,0
233,Ben,Taylor,2006,0
234,Jack,Chesbro,1946,0
235,Harry,Heilmann,1952,0
236,Eppa,Rixey,1963,0
237,Jud,Wilson,2006,0
238,Cap,Anson,1939,0
239,Leon,Day,1995,0
240,Freddie,Lindstrom,1976,0
241,Sam,Thompson,1974,0
242,Fred,Clarke,1945,0
243,Pete,Hill,2006,0
244,Bullet,Rogan,1998,0
245,Cy,Young,1937,0
246,Home Run,Baker,1955,0
247,Ed,Delahanty,1945,0
248,Pop,Lloyd,1977,0
249,Joe,Tinker,1946,0
